                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 1.6018,                0.83515,                0.88372,                0.44185,                0.20754,                0.19653,                0.09764,                 2.1768,                 1.6689,                0.95129,             0.00050606,             0.00050606,             0.00050606
                     57,                 1.6013,                0.83326,                0.88337,                0.41319,                0.20105,                0.19601,                0.09705,                 2.1614,                 1.6108,                0.94497,             0.00049506,             0.00049506,             0.00049506
                     58,                 1.5982,                0.82834,                0.88123,                0.42545,                0.21605,                0.19836,                0.10047,                 2.2065,                 1.6725,                 0.9569,             0.00048406,             0.00048406,             0.00048406
                     59,                 1.5927,                0.82803,                0.87958,                0.42662,                0.20693,                0.19557,                 0.0979,                 2.1749,                 1.6555,                0.95119,             0.00047306,             0.00047306,             0.00047306
                     60,                 1.5837,                0.82477,                0.88285,                0.42513,                0.21797,                0.19794,                0.10081,                 2.2137,                 1.6512,                0.96493,             0.00046206,             0.00046206,             0.00046206
                     61,                 1.5912,                0.82523,                0.87972,                0.41366,                 0.2113,                0.19456,                0.09897,                 2.1714,                 1.6524,                0.94543,             0.00045107,             0.00045107,             0.00045107
                     62,                 1.5817,                0.81787,                0.87849,                0.39599,                0.22794,                0.20805,                 0.1059,                 2.1653,                 1.5897,                0.94528,             0.00044007,             0.00044007,             0.00044007
                     63,                 1.5799,                 0.8168,                0.87901,                0.43252,                0.22471,                0.21758,                0.11236,                 2.1659,                 1.5659,                0.94375,             0.00042907,             0.00042907,             0.00042907
                     64,                 1.5788,                0.81581,                0.87649,                0.34067,                0.23182,                0.20015,                0.10154,                 2.2026,                 1.6049,                 0.9484,             0.00041807,             0.00041807,             0.00041807
                     65,                 1.5754,                0.81814,                0.87831,                 0.3745,                0.21071,                0.19805,                0.10049,                 2.1538,                 1.5885,                0.94349,             0.00040707,             0.00040707,             0.00040707
                     66,                 1.5676,                0.81228,                0.87667,                0.39841,                0.22415,                0.20508,                0.10482,                 2.1619,                 1.6429,                0.93822,             0.00039607,             0.00039607,             0.00039607
                     67,                 1.5704,                0.81067,                 0.8776,                0.48042,                0.21317,                0.21116,                0.11028,                 2.1802,                 1.6201,                0.94381,             0.00038507,             0.00038507,             0.00038507
                     68,                 1.5725,                0.81255,                0.87889,                0.38719,                0.22256,                0.20289,                0.10327,                 2.1859,                 1.6836,                0.94449,             0.00037407,             0.00037407,             0.00037407
                     69,                 1.5614,                0.80781,                0.87522,                0.42377,                0.22052,                0.20112,                0.10362,                 2.1622,                  1.679,                0.94598,             0.00036307,             0.00036307,             0.00036307
                     70,                 1.5578,                0.80463,                0.87663,                 0.4357,                0.21442,                0.20367,                0.10648,                 2.1577,                 1.6837,                0.94631,             0.00035208,             0.00035208,             0.00035208
                     71,                 1.5575,                0.80411,                0.87628,                 0.4617,                0.21715,                0.20672,                0.10756,                 2.1863,                 1.6431,                0.94811,             0.00034108,             0.00034108,             0.00034108
                     72,                 1.5575,                0.80364,                0.87538,                0.44582,                0.22309,                0.20774,                 0.1098,                 2.1678,                 1.5916,                0.94373,             0.00033008,             0.00033008,             0.00033008
